배급사,평균관객수,흥행지수1,흥행지수2,,,,,,,
아이러브시네마,"3,119,023",1,5.449026562,,,,,,,
(주)쇼박스,"3,020,250",0.968229114,5.261658804,,,,,,,
월트디즈니컴퍼니코리아 유한책임회사,"2,742,183",0.878787481,4.734179707,,,,,,,
월트디즈니컴퍼니코리아(주),"2,577,852",0.825929556,4.422451829,,,,,,,
(주)씨제이이엔엠,"1,882,208",0.602171857,3.10284814,,,,,,,
(주)스튜디오디에이치엘,"1,817,887",0.581482555,2.98083366,,,,,,,
주식회사 해리슨앤컴퍼니,"1,588,373",0.507658133,2.545456555,,,,,,,
소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),"1,523,332",0.486737239,2.422076269,,,,,,,
롯데컬처웍스(주)롯데엔터테인먼트,"1,517,174",0.48475663,2.410395692,,,,,,,
(주)넥스트엔터테인먼트월드(NEW),"1,365,098",0.435840469,2.121914238,,,,,,,
한국소니픽쳐스릴리징브에나비스타영화㈜,"1,358,620",0.433756979,2.109626921,,,,,,,
워너브러더스 코리아(주),"1,307,224",0.417224974,2.012129968,,,,,,,
(주)에이스메이커무비웍스,"1,266,692",0.404187777,1.935243523,,,,,,,
워터홀컴퍼니(주),"1,249,601",0.398690176,1.902821605,,,,,,,
소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,"1,140,355",0.363550846,1.695588557,,,,,,,
이십세기폭스코리아(주),"1,138,114",0.362829974,1.691337238,,,,,,,
롯데쇼핑㈜롯데엔터테인먼트,"1,058,663",0.337273962,1.540621498,,,,,,,
주식회사 에이비오엔터테인먼트,"811,119",0.257650172,1.071042807,,,,,,,
(주)피터팬픽쳐스,"773,649",0.245597744,0.999964005,,,,,,,
메가박스중앙(주)플러스엠,"752,247",0.238713761,0.959365947,,,,,,,
(주)메리크리스마스,"743,843",0.236010482,0.943423446,,,,,,,
유니버설픽쳐스인터내셔널 코리아(유),"737,486",0.233965694,0.931364375,,,,,,,
(주)와우픽쳐스,"670,324",0.212362751,0.803961727,,,,,,,
유나이티드픽처스(주),"592,041",0.187182546,0.655462296,,,,,,,
영화사올(주),"489,409",0.154170407,0.460774289,,,,,,,
(주)콘텐츠 난다긴다,"480,987",0.151461425,0.444798157,,,,,,,
(주)시네마서비스,"466,733",0.146876549,0.417759,,,,,,,
(주)시너지하우스 (시너지),"432,575",0.135889443,0.352962904,,,,,,,
오퍼스픽쳐스(유),"378,906",0.118626577,0.251155717,,,,,,,
씨네그루(주)다우기술,"362,856",0.113463906,0.220709035,,,,,,,
CGV아트하우스,"353,212",0.110361758,0.202414218,,,,,,,
글뫼 주식회사,"344,166",0.107452102,0.185254617,,,,,,,
필라멘트픽쳐스,"336,580",0.10501206,0.170864548,,,,,,,
(주)아이필름코퍼레이션,"332,993",0.103858353,0.164060602,,,,,,,
주식회사 우리네트웍스,"327,089",0.101959139,0.152860047,,,,,,,
(주)에스비에스콘텐츠허브,"236,418",0.072794513,-0.019137375,,,,,,,
(주)인벤트스톤,"228,163",0.070139084,-0.034797682,,,,,,,
(주)올스타엔터테인먼트,"224,715",0.069030094,-0.041337913,,,,,,,
(주)그노스,"217,444",0.066691391,-0.055130337,,,,,,,
판씨네마(주),"211,929",0.064917549,-0.065591515,,,,,,,
(주)까멜리아이엔티,"203,476",0.062198508,-0.081626967,,,,,,,
씨너스엔터테인먼트(주),"202,319",0.061826441,-0.083821223,,,,,,,
(주)키위미디어그룹,"190,237",0.057940112,-0.106740718,,,,,,,
(주)화앤담이엔티,"184,317",0.056035751,-0.117971624,,,,,,,
(주)셀트리온엔터테인먼트,"172,212",0.052142273,-0.140933283,,,,,,,
(주)제이앤씨미디어그룹,"170,250",0.051511234,-0.144654816,,,,,,,
(주)누리픽쳐스,"161,772",0.048784249,-0.16073712,,,,,,,
(주)키다리이엔티,"161,464",0.048685242,-0.161321015,,,,,,,
(재)CBS,"160,812",0.048475273,-0.162559298,,,,,,,
타임스토리그룹(주),"153,422",0.046098368,-0.176577016,,,,,,,
(주)스튜디오 산타클로스엔터테인먼트,"143,103",0.042779286,-0.196151192,,,,,,,
(주)아이코닉스,"135,478",0.040326583,-0.210615928,,,,,,,
TCO(주)더콘텐츠온,"134,022",0.039858124,-0.213378649,,,,,,,
(주)리틀빅픽쳐스,"129,690",0.038464836,-0.221595523,,,,,,,
(주)이놀미디어,"126,026",0.037286135,-0.228546869,,,,,,,
(주)이수C&E,"125,230",0.037030234,-0.230056041,,,,,,,
(주)씨네필운,"122,469",0.036142168,-0.23529338,,,,,,,
(주)싸이더스,"120,649",0.035556755,-0.238745833,,,,,,,
(주)스마일이엔티,"118,235",0.034780397,-0.243324377,,,,,,,
CGV ICECON,"102,876",0.029840038,-0.272459987,,,,,,,
주식회사 더쿱,"101,070",0.029259144,-0.275885788,,,,,,,
(주)대명문화공장,"93,433",0.026802688,-0.290372654,,,,,,,
(주)모멘텀엔터테인먼트,"90,488",0.025855306,-0.295959811,,,,,,,
팝엔터테인먼트,"87,329",0.024839196,-0.301952283,,,,,,,
(주)프레인글로벌,"84,367",0.023886545,-0.307570514,,,,,,,
㈜코리아스크린,"83,263",0.023531249,-0.30966586,,,,,,,
씨제이 씨지브이(CJ CGV)(주),"83,165",0.023499662,-0.309852141,,,,,,,
(주)영화사 그램,"80,338",0.02259045,-0.315214193,,,,,,,
오드,"79,862",0.022437409,-0.316116747,,,,,,,
(주)홈초이스,"77,308",0.021616016,-0.320960883,,,,,,,
(주)나이너스엔터테인먼트,"74,992",0.020870993,-0.325354632,,,,,,,
주식회사 마운틴픽쳐스,"74,944",0.020855333,-0.325446986,,,,,,,
(주)포켓몬코리아,"74,346",0.020663144,-0.326580415,,,,,,,
(주)와이즈베이,"72,046",0.019923337,-0.330943405,,,,,,,
(주)삼백상회,"63,823",0.017278404,-0.346541806,,,,,,,
(주)지어소프트,"63,506",0.017176399,-0.347143377,,,,,,,
커넥트픽쳐스(주),"62,654",0.01690222,-0.348760339,,,,,,,
(주)크리픽쳐스,"62,116",0.016729191,-0.349780773,,,,,,,
(주)디스테이션,"61,051",0.01638662,-0.351801073,,,,,,,
(주)미디어데이,"60,554",0.016226873,-0.35274318,,,,,,,
KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),"60,104",0.016082256,-0.35359605,,,,,,,
힘컨텐츠(주),"59,923",0.016023908,-0.353940157,,,,,,,
(주)무빙픽쳐스컴퍼니,"59,915",0.016021335,-0.353955333,,,,,,,
(주)영화사 빅,"56,139",0.01480677,-0.36111819,,,,,,,
파이오니아21,"55,485",0.01459624,-0.36235978,,,,,,,
에이원엔터테인먼트,"54,905",0.014409948,-0.363458432,,,,,,,
(주)엣나인필름,"54,731",0.014353736,-0.363789941,,,,,,,
(주)마인스 엔터테인먼트,"54,374",0.01423892,-0.364467068,,,,,,,
(주)티캐스트,"53,585",0.013985271,-0.365962951,,,,,,,
(주)팝파트너스,"52,251",0.013556087,-0.368494049,,,,,,,
(주)콘텐츠판다,"50,539",0.013005494,-0.371741158,,,,,,,
주식회사 온 피크,"49,813",0.012771972,-0.373118345,,,,,,,
(주)메인타이틀픽쳐스,"46,445",0.011688636,-0.37950728,,,,,,,
(주)삼지애니메이션,"46,394",0.011672192,-0.379604262,,,,,,,
(주)케이티알파,"45,838",0.011493456,-0.380658351,,,,,,,
그린나래미디어(주),"45,231",0.011298263,-0.381809495,,,,,,,
(주)박수엔터테인먼트,"45,201",0.011288356,-0.38186792,,,,,,,
예지림엔터테인먼트,"44,186",0.010962151,-0.383791705,,,,,,,
㈜T-JOY,"42,240",0.010336075,-0.387483965,,,,,,,
(주)팝엔터테인먼트,"41,742",0.010175963,-0.38842822,,,,,,,
주식회사 디에스이이디,"41,316",0.010038866,-0.389236748,,,,,,,
(유)조이앤시네마,"40,509",0.009779182,-0.390768221,,,,,,,
씨제이포디플렉스 주식회사,"39,645",0.009501444,-0.392406176,,,,,,,
(주)퍼스트런,"39,559",0.009473556,-0.392570642,,,,,,,
(주)두타연,"38,653",0.009182297,-0.394288332,,,,,,,
(주)브리즈픽처스,"38,129",0.009013589,-0.395283284,,,,,,,
(주)영화사 진진,"38,051",0.008988641,-0.395430416,,,,,,,
(주)티캐스트콘텐츠허브,"37,455",0.008796954,-0.396560881,,,,,,,
(주)영화제작전원사 ,"34,524",0.007854182,-0.402120848,,,,,,,
동우에이앤이(주),"33,999",0.007685152,-0.403117697,,,,,,,
이달투,"33,751",0.007605542,-0.403587192,,,,,,,
이언픽쳐스,"33,545",0.007539281,-0.403977965,,,,,,,
찬란,"32,959",0.007350684,-0.405090211,,,,,,,
(주)시네마달,"32,888",0.007327954,-0.405224262,,,,,,,
(주)라이크콘텐츠,"32,213",0.007110762,-0.406505143,,,,,,,
(주)더블앤조이픽쳐스,"31,441",0.006862358,-0.407970101,,,,,,,
와이드 릴리즈(주),"31,350",0.006833306,-0.40814143,,,,,,,
(주)인디플러그,"31,314",0.006821507,-0.408211014,,,,,,,
(주)미디어캐슬,"30,860",0.006675637,-0.409071281,,,,,,,
(주)애니플러스,"30,060",0.006418335,-0.410588708,,,,,,,
(주)스톰픽쳐스코리아,"29,542",0.006251649,-0.411571736,,,,,,,
(주)씨네포트,"28,636",0.005960275,-0.413290103,,,,,,,
(주)엠제이픽쳐스,"28,596",0.005947409,-0.413365981,,,,,,,
㈜인디스토리,"27,913",0.005727718,-0.4146616,,,,,,,
(주)빅웨이브시네마,"27,623",0.005634438,-0.415211716,,,,,,,
플레이리스트(주),"27,046",0.005448843,-0.416306257,,,,,,,
(주)영화사오원,"25,927",0.00508891,-0.418428947,,,,,,,
(주)영화특별시에스엠씨,"25,919",0.005086391,-0.418443806,,,,,,,
THE 픽쳐스,"25,844",0.005062253,-0.418586157,,,,,,,
골든타이드픽처스(주),"24,922",0.004765647,-0.420335384,,,,,,,
㈜영화사 백두대간,"24,862",0.004746347,-0.420449201,,,,,,,
롯데쇼핑㈜롯데시네마,"24,163",0.00452151,-0.421775171,,,,,,,
(주)버킷스튜디오,"24,000",0.00446908,-0.422084374,,,,,,,
(주)드림팩트엔터테인먼트,"23,896",0.004435757,-0.422280898,,,,,,,
(주)좋은 하늘,"23,711",0.004376122,-0.422632593,,,,,,,
(주)파인스토리,"23,404",0.004277374,-0.423214958,,,,,,,
KBS 미디어,"23,395",0.004274479,-0.42323203,,,,,,,
(주)마노엔터테인먼트,"23,269",0.004233843,-0.423471679,,,,,,,
오키넷,"23,133",0.004190205,-0.423729032,,,,,,,
(주)다자인소프트,"22,948",0.004130618,-0.424080442,,,,,,,
(주)트리플픽쳐스,"22,643",0.004032571,-0.424658674,,,,,,,
주식회사 컨텐츠썬,"21,556",0.003682955,-0.426720525,,,,,,,
(주)에스와이코마드,"21,385",0.003628059,-0.427044272,,,,,,,
브릿지웍스 엔터테인먼트(주),"21,352",0.003617337,-0.427107504,,,,,,,
(주)블룸즈베리파트너스,"21,280",0.003594178,-0.427244084,,,,,,,
제인앤유,"20,844",0.003453872,-0.428071535,,,,,,,
<나쁜 나라> 배급위원회,"20,803",0.003440748,-0.428148931,,,,,,,
영화사 마농(주),"20,527",0.003351971,-0.428672489,,,,,,,
(주)디오시네마,"20,442",0.003324523,-0.428834363,,,,,,,
(주)화인픽쳐스,"20,258",0.003265446,-0.42918277,,,,,,,
주식회사 왓챠,"20,195",0.003245182,-0.429302278,,,,,,,
(주)드림웨스트픽쳐스,"20,122",0.003221701,-0.429440755,,,,,,,
(주)대교 미디어콘텐츠사업본부,"20,113",0.003218806,-0.429457828,,,,,,,
(주)아우라픽처스,"20,085",0.003209799,-0.429510942,,,,,,,
(주)영화사조아,"19,252",0.00294186,-0.431091104,,,,,,,
(주)팬엔터테인먼트,"19,039",0.002873348,-0.431495154,,,,,,,
스튜디오 프로그레시브 인큐베이터,"18,799",0.002796151,-0.431950423,,,,,,,
(주)미디어로그,"18,740",0.002777173,-0.432062343,,,,,,,
(주)머스트씨무비릴리징컴퍼니,"18,605",0.002733841,-0.43231789,,,,,,,
주식회사 단유필름,"18,248",0.002618918,-0.432995644,,,,,,,
(주)영화사 안다미로,"17,159",0.002268475,-0.435062373,,,,,,,
아이 엠,"16,803",0.002154207,-0.435736265,,,,,,,
(주)메타플레이,"16,646",0.002103626,-0.436034561,,,,,,,
(주)명필름,"16,376",0.002016619,-0.436547687,,,,,,,
영화사 풀,"16,324",0.002000053,-0.43664538,,,,,,,
시네마 뉴원,"15,931",0.001873643,-0.437390882,,,,,,,
주식회사 씨네룩스,"15,509",0.001737996,-0.438190854,,,,,,,
(주)머스트씨무비,"15,377",0.001695553,-0.438441161,,,,,,,
(주)씨에이씨엔터테인먼트,"15,252",0.001655239,-0.438678913,,,,,,,
스마트스터디(주),"15,229",0.001647841,-0.438722543,,,,,,,
(주)앤드플러스미디어웍스,"15,147",0.001621465,-0.438878093,,,,,,,
(주)영화사 조제,"14,983",0.001568713,-0.439189193,,,,,,,
스튜디오느림보,"14,954",0.001559385,-0.439244204,,,,,,,
데이지엔터테인먼트,"14,581",0.001439247,-0.439952716,,,,,,,
(주)소나무픽쳐스,"14,557",0.001431688,-0.439997294,,,,,,,
(주)중헌홀딩스,"14,437",0.00139309,-0.440224929,,,,,,,
알토미디어(주),"13,984",0.001247487,-0.441083616,,,,,,,
(주)블룸즈베리리소시스리미티드,"13,912",0.001224221,-0.441220829,,,,,,,
(주)알앤오엔터테인먼트,"13,424",0.001067253,-0.442146541,,,,,,,
주식회사 슈아픽처스,"13,411",0.00106291,-0.44217215,,,,,,,
(주)디지컴코리아엠앤엠,"13,087",0.000958855,-0.442785814,,,,,,,
프리비젼엔터테인먼트,"12,000",0.000609215,-0.444847801,,,,,,,
주식회사 블루필름웍스,"11,963",0.000597314,-0.444917989,,,,,,,
(주)뮤제엔터테인먼트,"11,887",0.000572868,-0.445062157,,,,,,,
(주)에스피엠,"11,666",0.000501782,-0.445481384,,,,,,,
뉴원시네마,"11,546",0.000463184,-0.445709018,,,,,,,
씨네21아이(주),"11,403",0.000417187,-0.445980282,,,,,,,
(주)미로비젼,"11,316",0.000389203,-0.446145317,,,,,,,
M&M 인터내셔널,"11,040",0.000300426,-0.446668876,,,,,,,
(주)에이원엔터테인먼트,"10,747",0.00020602,-0.447225631,,,,,,,
스크린조이,"10,672",0.000182057,-0.447366954,,,,,,,
(주)비싸이드 픽쳐스,"10,167",1.96E-05,-0.448324915,,,,,,,
(주)김기덕 필름,"10,141",1.13E-05,-0.448374236,,,,,,,
(주)한마음프로덕션,"10,106",0,-0.448440629,,,,,,,
